symbol,shares_outstanding
005930.KS,5919637922.0
000660.KS,728002365.0
035420.KS,156852638.0
035720.KS,442495220.0
005380.KS,204757766.0
051910.KS,70592343.0
373220.KS,234000000.0
207940.KS,46290951.0
000270.KS,390412998.0
068270.KS,230960969.0
005490.KS,80932952.0
006400.KS,80585530.0
012330.KS,90732583.0
028260.KS,169976544.0
105560.KS,381462103.0
055550.KS,485494934.0
086790.KS,278325814.0
316140.KS,734076320.0
032830.KS,200000000.0
138040.KS,175221773.0
066570.KS,180072379.0
015760.KS,641964077.0
003550.KS,154221585.0
034730.KS,73068838.0
096770.KS,169052788.0
009150.KS,77600680.0
011200.KS,943237970.0
010130.KS,20872969.0
017670.KS,214790053.0
030200.KS,252021685.0
003670.KS,88946220.0
352820.KS,42609196.0
259960.KS,47403831.0
018260.KS,77377800.0
036570.KS,21544022.0
